Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Metodo,Diferenca_Absoluta,Erro_Percentual
Soro,20_1H,5-AminoValerate,,82.0272549463419,,CSV,,
Soro,20_1H,Valerate,,85.4014005532295,,CSV,,
Soro,20_1H,Hypotaurine,,85.768090000024,,CSV,,
Soro,20_1H,Methionine,HMDB00696,91.0477531670682,6.7,CSV,84.34775316706819,1258.92
Soro,20_1H,Putrescine,,101.223411789044,,CSV,,
Soro,20_1H,"1,3-Diaminopropane",,109.05111679054,,CSV,,
Soro,20_1H,Fucose,HMDB00174,109.605325886516,,CSV,,
Soro,20_1H,Pantothenate,HMDB00210,110.576137092318,,CSV,,
Soro,20_1H,Maltose,,113.117072833784,,CSV,,
Soro,20_1H,Saccarate,,129.960702016084,,CSV,,
Soro,20_1H,3-Methylxanthine,,145.900949612609,,CSV,,
Soro,20_1H,2-AminoAdipate,,146.049069485874,,CSV,,
Soro,20_1H,3-Methyladipate,,146.144891719437,,CSV,,
Soro,20_1H,PropyleneGlycol,,176.353793800731,,CSV,,
Soro,20_1H,Phenylalanine,,222.517471432824,26.4,CSV,196.117471432824,742.87
Soro,20_1H,Guanidinoacetate,,230.258862128021,,CSV,,
Soro,20_1H,Isoleucine,HMDB00172,230.456649793519,22.7,CSV,207.75664979351902,915.23
Soro,20_1H,Pyroglutamate,HMDB00267,239.274719348445,,CSV,,
Soro,20_1H,4-HydroxyphenylAcetate,,247.662170920265,,CSV,,
Soro,20_1H,Methanol,,252.644623925101,41.9,CSV,210.744623925101,502.97
Soro,20_1H,Citrulline,,256.702166560404,,CSV,,
Soro,20_1H,Ornithine,,270.464735655178,13.3,CSV,257.164735655178,1933.57
Soro,20_1H,Serine,HMDB00187,282.937671122384,56.3,CSV,226.637671122384,402.55
Soro,20_1H,Carnitine,HMDB00062,284.669485021802,16.1,CSV,268.569485021802,1668.13
Soro,20_1H,Taurine,HMDB00251,304.814401418308,40.0,CSV,264.814401418308,662.04
Soro,20_1H,Glucose-6-Phosphate,,311.993959367496,,CSV,,
Soro,20_1H,CholineChloride,,316.41357180201,,CSV,,
Soro,20_1H,Ascorbate,,322.551301208091,,CSV,,
Soro,20_1H,Levoglucosan,,329.210539331991,,CSV,,
Soro,20_1H,Cadaverine,,330.244806174151,,CSV,,
Soro,20_1H,Glycogen,,332.45174145873,,CSV,,
Soro,20_1H,Citrate,HMDB00094,345.726102743116,41.2,CSV,304.526102743116,739.14
Soro,20_1H,Xylitol,HMDB02917,346.693723431571,,CSV,,
Soro,20_1H,2-Propanol,,351.066207821876,,CSV,,
Soro,20_1H,Sorbitol,,351.129397698335,,CSV,,
Soro,20_1H,Glucuronate,,353.777487977755,,CSV,,
Soro,20_1H,3-Hydroxybutyrate,HMDB00357,369.045752879066,11.7,CSV,357.345752879066,3054.24
Soro,20_1H,DehydroAscorbate,,369.564037452305,,CSV,,
Soro,20_1H,Betaine,HMDB00043,381.794306369773,10.3,CSV,371.49430636977297,3606.74
Soro,20_1H,Gluconate,,397.571412408273,,CSV,,
Soro,20_1H,Mannose,,399.746690981207,21.7,CSV,378.046690981207,1742.15
Soro,20_1H,Threonine,HMDB00167,424.429977910751,40.5,CSV,383.929977910751,947.98
Soro,20_1H,Galactose,,437.153420223248,,CSV,,
Soro,20_1H,Cystine,,443.223233314569,,CSV,,
Soro,20_1H,Lysine,HMDB00182,494.89023233393,51.1,CSV,443.79023233392996,868.47
Soro,20_1H,2-Aminobutyrate,,532.216649411859,5.0,CSV,527.216649411859,10544.33
Soro,20_1H,Fructose,HMDB00660,557.434630060092,,CSV,,
Soro,20_1H,Leucine,HMDB00687,632.875027645838,46.8,CSV,586.0750276458381,1252.3
Soro,20_1H,Alanine,HMDB00161,664.405527830335,131.6,CSV,532.805527830335,404.87
Soro,20_1H,Valine,HMDB00883,692.098258305608,74.6,CSV,617.498258305608,827.75
Soro,20_1H,Threitol,,695.052174035578,,CSV,,
Soro,20_1H,Glycerol,,709.905040989798,117.8,CSV,592.105040989798,502.64
Soro,20_1H,Glutamate,,819.942541987972,45.5,CSV,774.442541987972,1702.07
Soro,20_1H,Proline,,841.187765657753,60.3,CSV,780.887765657753,1295.0
Soro,20_1H,Glycine,HMDB00123,1035.15807112989,87.9,CSV,947.25807112989,1077.65
Soro,20_1H,Arginine,,1108.5246908635,58.9,CSV,1049.6246908634998,1782.05
Soro,20_1H,Glutamine,HMDB00641,1928.20923221238,140.6,CSV,1787.60923221238,1271.41
Soro,20_1H,Glycerate,,2064.89644682155,,CSV,,
Soro,20_1H,Lactate,HMDB00190,5523.55319448869,719.1,CSV,4804.453194488689,668.12
Soro,20_1H,Glucose,HMDB00122,6478.81665190145,1122.6,CSV,5356.21665190145,477.13
Soro,2_1H,2-Oxoglutarate,HMDB00208,0.0,3.0,CSV,3.0,100.0
Soro,2_1H,Phosphocholine,,0.0,,CSV,,
Soro,2_1H,DehydroAscorbate,,0.0,,CSV,,
Soro,2_1H,trans-4-Hydroxy-L-Proline,,0.0,,CSV,,
Soro,2_1H,Adipate,,0.0,,CSV,,
Soro,2_1H,Glutarate,,0.0,,CSV,,
Soro,2_1H,Malate,,0.0,,CSV,,
Soro,2_1H,Dimethylsulfone,,0.0,,CSV,,
Soro,2_1H,Propionate,,0.0,,CSV,,
Soro,2_1H,Acetate,HMDB00042,0.0,12.7,CSV,12.7,100.0
Soro,2_1H,Pimelate,,0.0,,CSV,,
Soro,2_1H,Tartarate,,0.0,,CSV,,
