PPM,01RCF_ex1_p1,02RCF_ex1_p1,03RCF_ex1_p1,04RCF_ex1_p1,05RCF_ex1_p1
-4.831150239918955,0.0,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
-4.831050880197221,0.0,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
-4.830951520475489,0.0,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
-4.830852160753755,0.0,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
-4.8307528010320215,0.0,-1288.7821441019933,-1436.6155187146078,1671.7555971093825,0.0
-4.8306534413102895,0.0,-1288.7821441019933,-718.3077593573039,1671.7555971093825,0.0
-4.830554081588556,0.0,-1288.7821441019933,-718.3077593573039,1671.7555971093825,0.0
-4.830454721866822,0.0,-1288.7821441019933,-718.3077593573039,1567.270872290046,0.0
-4.830355362145088,0.0,-1288.7821441019933,-718.3077593573039,1567.270872290046,0.0
-4.830256002423356,0.0,-1288.7821441019933,-718.3077593573039,1567.270872290046,0.0
-4.830156642701622,0.0,-1288.7821441019933,-718.3077593573039,1567.270872290046,0.0
-4.8300572829798885,0.0,0.0,-1436.6155187146078,1567.270872290046,0.0
-4.829957923258156,0.0,0.0,-1436.6155187146078,1567.270872290046,0.0
-4.829858563536423,0.0,0.0,-1436.6155187146078,1567.270872290046,0.0
-4.829759203814689,0.0,0.0,-1436.6155187146078,1567.270872290046,0.0
-4.829659844092955,0.0,0.0,-1436.6155187146078,1567.270872290046,0.0
-4.829560484371223,0.0,-1288.7821441019933,-718.3077593573039,1567.270872290046,0.0
-4.829461124649489,0.0,-1288.7821441019933,-718.3077593573039,1462.7861474707097,0.0
-4.829361764927755,0.0,-1288.7821441019933,-718.3077593573039,1462.7861474707097,0.0
-4.829262405206023,0.0,-1288.7821441019933,-718.3077593573039,1462.7861474707097,0.0
-4.8291630454842895,0.0,-1288.7821441019933,-718.3077593573039,1462.7861474707097,0.0
-4.829063685762556,0.0,-1288.7821441019933,-718.3077593573039,1462.7861474707097,0.0
-4.828964326040822,0.0,-1288.7821441019933,-1436.6155187146078,1462.7861474707097,0.0
-4.82886496631909,0.0,-2577.5642882039865,-1436.6155187146078,1462.7861474707097,0.0
-4.828765606597356,0.0,-2577.5642882039865,-1436.6155187146078,1462.7861474707097,0.0
-4.828666246875622,0.0,-2577.5642882039865,-1436.6155187146078,1462.7861474707097,0.0
-4.82856688715389,0.0,-3866.3464323059798,-1436.6155187146078,1462.7861474707097,0.0
-4.8284675274321565,0.0,-3866.3464323059798,-718.3077593573039,1462.7861474707097,0.0
-4.828368167710423,0.0,-3866.3464323059798,-718.3077593573039,1462.7861474707097,0.0
-4.828268807988689,0.0,-3866.3464323059798,-718.3077593573039,1462.7861474707097,0.0
-4.828169448266957,0.0,-3866.3464323059798,-718.3077593573039,1462.7861474707097,0.0
-4.828070088545223,0.0,-3866.3464323059798,-718.3077593573039,1462.7861474707097,0.0
-4.827970728823489,0.0,-3866.3464323059798,-718.3077593573039,1462.7861474707097,0.0
-4.827871369101757,0.0,-3866.3464323059798,0.0,1462.7861474707097,0.0
-4.827772009380023,0.0,-3866.3464323059798,0.0,1462.7861474707097,0.0
-4.82767264965829,0.0,-3866.3464323059798,0.0,1358.3014226513733,0.0
-4.827573289936556,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.827473930214824,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.82737457049309,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.827275210771356,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
-4.827175851049624,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,-1253.5073840982539
-4.82707649132789,0.0,-2577.5642882039865,-1436.6155187146078,1462.7861474707097,-1253.5073840982539
-4.8269771316061565,0.0,-2577.5642882039865,-1436.6155187146078,1462.7861474707097,0.0
-4.826877771884423,0.0,-2577.5642882039865,-1436.6155187146078,1358.3014226513733,0.0
-4.826778412162691,0.0,-2577.5642882039865,-1436.6155187146078,1358.3014226513733,0.0
-4.826679052440957,0.0,-2577.5642882039865,-718.3077593573039,1358.3014226513733,0.0
