Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Diferenca_Absoluta,Erro_Percentual
Soro,2_1H,3-HydroxyphenylAcetate,,71.2139754978897,,,
Soro,2_1H,Ethylmalonate,,71.3239881021795,,,
Soro,2_1H,Glutaconate,,73.1177723193992,,,
Soro,2_1H,7-Methylxanthine,,73.1997876656155,,,
Soro,2_1H,3-Methyl-L-Histidine,,77.4107161768969,,,
Soro,2_1H,Threonate,,79.0919534480374,,,
Soro,2_1H,2-Oxobutyrate,,82.1509713780228,,,
Soro,2_1H,3-Methyladipate,,87.4307813919029,,,
Soro,2_1H,5-AminoValerate,,90.8104066740056,,,
Soro,2_1H,Phenylalanine,,91.0845440671331,23.7,67.38454406713309,284.32
Soro,2_1H,Pyruvate,HMDB00243,95.8125993619449,16.2,79.6125993619449,491.44
Soro,2_1H,Serine,HMDB00187,96.1643327085275,66.5,29.664332708527496,44.61
Soro,2_1H,Cadaverine,,101.244897508383,,,
Soro,2_1H,Glycine,HMDB00123,102.700370440052,82.9,19.800370440051992,23.88
Soro,2_1H,Alanine,HMDB00161,108.722219304315,115.4,6.677780695685001,5.79
Soro,2_1H,Threonine,HMDB00167,109.632647704286,40.2,69.432647704286,172.72
Soro,2_1H,Ornithine,,110.457185851026,13.1,97.357185851026,743.18
Soro,2_1H,Isoleucine,HMDB00172,111.905817675998,20.4,91.505817675998,448.56
Soro,2_1H,Galactose,,112.082246117082,,,
Soro,2_1H,Homovanillate,,114.468225371939,,,
Soro,2_1H,4-HydroxyphenylAcetate,,119.856559756343,,,
Soro,2_1H,Arabitol,,123.393586184193,,,
Soro,2_1H,Lactose,,125.881785577111,,,
Soro,2_1H,Aspartate,,131.462032144252,16.2,115.26203214425199,711.49
Soro,2_1H,Myo-Inositol,,131.80852540619,,,
Soro,2_1H,Spermidine,,135.273831668033,,,
Soro,2_1H,Putrescine,,149.937697835533,,,
Soro,2_1H,Citrate,HMDB00094,162.411861281146,37.7,124.711861281146,330.8
Soro,2_1H,Mannose,,165.22943229047,12.7,152.52943229047,1201.02
Soro,2_1H,Valine,HMDB00883,166.230275670977,63.7,102.53027567097699,160.96
Soro,2_1H,N-Acetylglycine,,170.388417666219,,,
Soro,2_1H,Glucose-6-Phosphate,,172.999052030574,,,
Soro,2_1H,Hypotaurine,,178.42387081579,,,
Soro,2_1H,Guanidinoacetate,,195.398988961761,,,
Soro,2_1H,CholineChloride,,205.162577972562,,,
